Seq,Wave,Wave Name,ID,Source,Module,Feature / Requirement,Actors,Workbook Priority,Workbook Phase,Current Status,Action,Depends On,Remaining Scope,Evidence / File Path
1,1,Access & security foundation,RBAC-002,RBAC Matrix,Security,"Place order (Customer, Admin only)",All,n/a,n/a,IN PROGRESS,FIX CONFLICT,-,CONFLICT: remove ORDER_PLACE from Shop Owner/Gig/Operator or get workbook changed,"ORDER_PLACE inherited by Shop Owner, Gig, Operator"
2,1,Access & security foundation,RBAC-007,RBAC Matrix,Security,Assign delivery,"Gig (Limited), Operator, Admin",n/a,n/a,IN PROGRESS,FIX CONFLICT,-,CONFLICT: Shop Owner should not assign; auto-assignment replaces manual,Shop Owner has DELIVERY_ORDER_ASSIGN_SHOP
3,1,Access & security foundation,RBAC-003,RBAC Matrix,Security,Manage own shop (Operator Limited),"Shop, Operator, Admin",n/a,n/a,UNCLEAR,CLARIFY THEN FIX,-,Define and enforce Operator 'Limited' scope,Operator has SHOP_UPDATE_ANY
4,1,Access & security foundation,GS-002,Feature Master,Identity & Access,Role-based access control,All roles,P0,MVP,IN PROGRESS,COMPLETE EXISTING,"RBAC-002, RBAC-007",Society Admin role; fix RBAC conflicts,"src/server/authz/permissions.ts, guards.ts; 5 roles"
5,1,Access & security foundation,GS-001,Feature Master,Identity & Access,Mobile/email/Gmail login,"Customer, Shop, Gig, Operator, Admin, Society",P0,MVP,IN PROGRESS,COMPLETE EXISTING,GS-002,Mobile OTP and email login,src/server/auth.ts (Google OAuth only)
6,1,Access & security foundation,GS-070,Feature Master,Security,Privacy/consent management,All,P0,MVP,IN PROGRESS,COMPLETE EXISTING,GS-001,Marketing consent capture and screen,svc/consents.ts; terms consent at sign-in
7,1,Access & security foundation,GS-067,Feature Master,Admin,Audit logs,"Admin, Auditor",P0,MVP,IN PROGRESS,COMPLETE EXISTING,-,Database-enforced immutability; Auditor role,svc/audit.ts; audit-log-view
8,1,Access & security foundation,RBAC-010,RBAC Matrix,Security,View orders (role-scoped),All,n/a,n/a,IN PROGRESS,COMPLETE EXISTING,GS-002,Society scope; Operator operational scope,ORDER_VIEW_OWN/SHOP/ANY
9,2,"State model extension (map, don't replace)",SM-001,State Machines,Orders,Order state machine,System,n/a,n/a,IN PROGRESS,COMPLETE EXISTING,-,"DRAFT, SHOP_PENDING/ACCEPTED, ASSIGNED, PICKED_UP, FAILED, RETURNED, DISPUTED (map existing states, don't replace)",svc/orders.ts ALLOWED_TRANSITIONS; order_status_history
10,2,"State model extension (map, don't replace)",SM-005,State Machines,Payments,Payment state machine,System,n/a,n/a,IN PROGRESS,COMPLETE EXISTING,-,"AUTHORIZED/CAPTURED, RECONCILED, CHARGEBACK",payment_status (top-ups)
